field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.002188986,-0.012132702,0.876897809,-0.480518718,0.00015425,-0.11385395,-0.246995752,,,,,1.76E+18
-0.002158827,-0.012207688,0.876941629,-0.480436979,-0.000170106,-0.142535695,-0.353345488,,,,,1.76E+18
-0.002144933,-0.012253363,0.876995667,-0.48033723,0.00077561,-0.136906161,-0.427052644,,,,,1.76E+18
-0.002163081,-0.012251539,0.877024472,-0.480284599,0.005213939,-0.111669399,-0.413777175,,,,,1.76E+18
-0.00223029,-0.012191564,0.877025169,-0.480284546,0.008612788,-0.109188006,-0.308143679,,,,,1.76E+18
-0.002337842,-0.012089339,0.877010485,-0.480313431,0.011888955,-0.12653288,-0.159966691,,,,,1.76E+18
-0.002433537,-0.01197708,0.876977004,-0.480376895,0.012936158,-0.119546738,-0.022961415,,,,,1.76E+18
-0.00251478,-0.011880142,0.876927368,-0.480469489,0.013072493,-0.076365482,0.022578436,,,,,1.76E+18
-0.002565581,-0.011809295,0.876868492,-0.480578408,0.012805189,-0.071214554,0.03732411,,,,,1.76E+18
-0.002567516,-0.011758044,0.876817673,-0.480672368,0.010265705,-0.068905671,0.044526616,,,,,1.76E+18
-0.002561623,-0.011735974,0.876778251,-0.480744843,0.005692679,-0.089559979,0.058878591,,,,,1.76E+18
-0.002531346,-0.011749416,0.876744424,-0.480806363,0.000889581,-0.121267674,0.067386806,,,,,1.76E+18
-0.002463678,-0.011817812,0.876731704,-0.480828233,-0.006659237,-0.07958285,0.049234368,,,,,1.76E+18
-0.002355704,-0.011925141,0.876747689,-0.480796976,-0.011402498,-0.02633758,-0.015219396,,,,,1.76E+18
-0.002233316,-0.01204986,0.876792812,-0.480712158,-0.01792255,0.00246208,-0.067114267,,,,,1.76E+18
-0.002100634,-0.012206748,0.876848347,-0.48060749,-0.02186043,-0.057894543,-0.124199288,,,,,1.76E+18
-0.001951546,-0.012375556,0.876885686,-0.48053567,-0.01295633,-0.133924,-0.21293612,,,,,1.76E+18
-0.001817673,-0.012558046,0.876913316,-0.480481037,-0.001474102,-0.1659161,-0.32672825,,,,,1.76E+18
-0.001688055,-0.012723812,0.876961429,-0.480389329,-0.003398058,-0.15928503,-0.416548489,,,,,1.76E+18
-0.001607208,-0.012839425,0.877024448,-0.480271469,-0.00480713,-0.157714013,-0.491893733,,,,,1.76E+18
-0.001581275,-0.012881881,0.877085255,-0.480159361,-0.000848981,-0.091177532,-0.481783901,,,,,1.76E+18
-0.001616907,-0.012867883,0.877127945,-0.48008163,0.005963154,-0.074659872,-0.437248613,,,,,1.76E+18
-0.001720735,-0.012785467,0.877131426,-0.480077111,0.012584454,-0.129119376,-0.337455083,,,,,1.76E+18
-0.001860644,-0.012650956,0.877090583,-0.480154768,0.018118652,-0.173204528,-0.211855397,,,,,1.76E+18
-0.001986573,-0.012508786,0.877022158,-0.480282957,0.020931328,-0.155739339,-0.067119454,,,,,1.76E+18
-0.002079546,-0.012379195,0.876953455,-0.480411354,0.019935837,-0.13652732,0.034998663,,,,,1.76E+18
-0.002117859,-0.012293163,0.876892734,-0.48052422,0.017195255,-0.017484972,0.091353032,,,,,1.76E+18
-0.002139512,-0.012246253,0.876826068,-0.480646958,0.013552244,-0.011493557,0.107870121,,,,,1.76E+18
-0.002163092,-0.01222957,0.876765887,-0.480757048,0.008155174,-0.056430816,0.12975032,,,,,1.76E+18
-0.002153708,-0.01226265,0.876737586,-0.480807856,0.003482627,-0.079586817,0.033747528,,,,,1.76E+18
-0.002121413,-0.012300182,0.876735907,-0.480810103,-0.003075456,-0.061065521,-0.015724422,,,,,1.76E+18
-0.00206971,-0.012345218,0.87676437,-0.480757268,-0.007380088,-0.074030577,-0.167907456,,,,,1.76E+18
-0.001954296,-0.012468887,0.876827767,-0.480638924,-0.013613055,-0.0715344,-0.304257693,,,,,1.76E+18
-0.001838209,-0.012617735,0.876924637,-0.480458733,-0.008534649,-0.088577573,-0.589708735,,,,,1.76E+18
-0.001814917,-0.012663277,0.877014757,-0.480293101,-0.000957937,-0.161147837,-0.692065199,,,,,1.76E+18
-0.00185046,-0.01264843,0.877093808,-0.480148982,0.002351242,-0.14435636,-0.655475327,,,,,1.76E+18
-0.002026503,-0.012548114,0.877146761,-0.480054161,0.011408239,-0.183720985,-0.641289483,,,,,1.76E+18
-0.002251305,-0.012361507,0.877152288,-0.480047903,0.016642941,-0.197780392,-0.451811228,,,,,1.76E+18
-0.002487145,-0.012125672,0.877139304,-0.480076477,0.02139665,-0.060197115,-0.347405912,,,,,1.76E+18
-0.002757552,-0.011848323,0.877136333,-0.480087353,0.010039953,-0.013682821,-0.224500378,,,,,1.76E+18
-0.003087901,-0.011503374,0.877146663,-0.480074857,-0.009895123,-0.06670817,0.027662492,,,,,1.76E+18
-0.00343071,-0.01117165,0.877084875,-0.480193238,0.006263267,-0.222257932,0.181330667,,,,,1.76E+18
-0.003699391,-0.010881603,0.876984746,-0.480380746,0.019402273,-0.237971682,0.179658087,,,,,1.76E+18
-0.003910082,-0.010620228,0.876850333,-0.480630228,0.028716294,-0.170158721,0.236994648,,,,,1.76E+18
-0.004033914,-0.010412982,0.876696568,-0.480914155,0.034405116,-0.112969468,0.329464115,,,,,1.76E+18
-0.00408681,-0.010310045,0.876593538,-0.4811037,0.031168256,-0.026790227,0.211145023,,,,,1.76E+18
-0.00414254,-0.010257922,0.876516633,-0.481244435,0.024365101,0.033693428,0.187685959,,,,,1.76E+18
-0.004179794,-0.010274754,0.876434243,-0.481393785,0.016128456,-0.078212527,0.192508664,,,,,1.76E+18
-0.004140045,-0.010337917,0.876361273,-0.481525603,0.008281421,-0.206334619,0.154844861,,,,,1.76E+18
-0.003997007,-0.010406274,0.876333771,-0.481575389,-0.002187908,-0.043228263,0.15144062,,,,,1.76E+18
-0.003830349,-0.010478877,0.876345482,-0.481553858,-0.012414705,0.053880818,0.145117709,,,,,1.76E+18
-0.003643584,-0.010593367,0.876380937,-0.481488274,-0.022086034,-0.001323411,0.106310021,,,,,1.76E+18
-0.003401032,-0.010746169,0.876446948,-0.481366493,-0.032554895,-0.043123399,0.034563418,,,,,1.76E+18
-0.003095696,-0.010971139,0.876612049,-0.481062747,-0.046047721,0.046783215,-0.301644155,,,,,1.76E+18
-0.00283478,-0.011342884,0.876747107,-0.48080954,-0.040926456,-0.225878914,-0.418431688,,,,,1.76E+18
-0.002633202,-0.011685816,0.876859108,-0.480598183,-0.011246693,-0.265414271,-0.721794474,,,,,1.76E+18
-0.002481077,-0.011851365,0.876987058,-0.480361416,-0.023652453,-0.0872211,-0.527658767,,,,,1.76E+18
-0.002367923,-0.012014586,0.877086839,-0.480175718,-0.025051445,-0.234941415,-0.406733915,,,,,1.76E+18
-0.002262545,-0.012054462,0.877186772,-0.479992644,-0.023317009,-0.007808616,-0.298887312,,,,,1.76E+18
-0.002238225,-0.012031935,0.877280277,-0.479822402,-0.019024098,0.055319547,-0.318348809,,,,,1.76E+18
-0.002280412,-0.01203642,0.877330846,-0.479729623,-0.01195136,-0.112194049,-0.237616145,,,,,1.76E+18
-0.002376604,-0.011998803,0.877328674,-0.479734069,-0.000972196,-0.301201882,-0.182320815,,,,,1.76E+18
