field.latitude,field.longitude,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.covariance0,field.twist.covariance0,,,,%time 
47.1160233,-88.5501938,-0.032,-0.017,0.003249,0.003249,,,,1.76E+18
47.1160233,-88.5501938,0.055,-0.025,0.008464,0.008464,,,,1.76E+18
47.1160233,-88.5501939,-0.037,0.009,0.006724,0.006724,,,,1.76E+18
47.1160233,-88.5501939,0.021,0.009,0.003969,0.003969,,,,1.76E+18
47.1160233,-88.5501939,-0.014,0.018,0.008464,0.008464,,,,1.76E+18
47.1160233,-88.5501939,0.042,-0.038,0.009801,0.009801,,,,1.76E+18
47.1160233,-88.5501939,0.026,-0.005,0.006561,0.006561,,,,1.76E+18
47.1160233,-88.5501938,0,0.003,0.004624,0.004624,,,,1.76E+18
47.1160232,-88.5501939,-0.023,0.005,0.005776,0.005776,,,,1.76E+18
47.1160232,-88.5501939,-0.019,0.006,0.006241,0.006241,,,,1.76E+18
47.1160232,-88.5501938,0.034,-0.017,0.0081,0.0081,,,,1.76E+18
47.1160232,-88.5501938,-0.003,0.004,0.006241,0.006241,,,,1.76E+18
47.1160232,-88.5501939,0.007,0.003,0.0049,0.0049,,,,1.76E+18
47.1160232,-88.5501938,0.04,0.059,0.004225,0.004225,,,,1.76E+18
47.1160232,-88.5501939,-0.057,-0.009,0.004356,0.004356,,,,1.76E+18
47.1160233,-88.5501938,0.021,0,0.005476,0.005476,,,,1.76E+18
47.1160233,-88.5501938,0.003,0.032,0.007225,0.007225,,,,1.76E+18
47.1160233,-88.5501938,0.015,-0.039,0.01,0.01,,,,1.76E+18
47.1160233,-88.5501938,0.02,0.017,0.003481,0.003481,,,,1.76E+18
47.1160233,-88.5501938,-0.014,0.009,0.007921,0.007921,,,,1.76E+18
47.1160233,-88.5501938,-0.015,0.038,0.009801,0.009801,,,,1.76E+18
47.1160233,-88.5501939,-0.042,0.092,0.011025,0.011025,,,,1.76E+18
47.1160232,-88.5501938,0.081,-0.101,0.010404,0.010404,,,,1.76E+18
47.1160232,-88.5501937,0.035,-0.063,0.009025,0.009025,,,,1.76E+18
47.1160232,-88.5501936,0.086,-0.045,0.007569,0.007569,,,,1.76E+18
47.1160233,-88.5501936,-0.03,0.022,0.006561,0.006561,,,,1.76E+18
47.1160233,-88.5501937,-0.026,-0.022,0.004096,0.004096,,,,1.76E+18
47.1160234,-88.5501936,0.012,-0.013,0.006084,0.006084,,,,1.76E+18
47.1160234,-88.5501936,0.006,0.016,0.005184,0.005184,,,,1.76E+18
47.1160234,-88.5501937,-0.038,0.017,0.006724,0.006724,,,,1.76E+18
47.1160234,-88.5501937,0.01,0.02,0.005776,0.005776,,,,1.76E+18
47.1160234,-88.5501936,-0.001,0.036,0.009409,0.009409,,,,1.76E+18
47.1160235,-88.5501935,0.147,0.128,0.004489,0.004489,,,,1.76E+18
47.1160237,-88.5501934,0.129,0.122,0.004624,0.004624,,,,1.76E+18
47.1160237,-88.5501935,-0.117,0.093,0.008836,0.008836,,,,1.76E+18
47.116024,-88.5501935,0.096,0.247,0.006561,0.006561,,,,1.76E+18
47.1160243,-88.5501933,0.128,0.371,0.006889,0.006889,,,,1.76E+18
